,quarter,시장구분,종목명,btin
56440,1,KOSDAQ,동운아나텍,반도체 제조업
56448,3,KOSDAQ,동운아나텍,반도체 제조업
56450,2,KOSDAQ,동운아나텍,반도체 제조업
56458,1,KOSDAQ,칩스앤미디어,소프트웨어 개발 및 공급업
56459,3,KOSDAQ,칩스앤미디어,소프트웨어 개발 및 공급업
56470,4,KOSDAQ,칩스앤미디어,소프트웨어 개발 및 공급업
56481,4,KOSDAQ,일진파워,전기 및 통신 공사업
56483,4,KOSDAQ,이엠코리아,특수 목적용 기계 제조업
56485,3,KOSDAQ,이엠코리아,특수 목적용 기계 제조업
56488,1,KOSDAQ,이엠코리아,특수 목적용 기계 제조업
56489,3,KOSDAQ,웨이브일렉트로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
56491,4,KOSDAQ,웨이브일렉트로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
56493,3,KOSDAQ,ISC,전자부품 제조업
56494,2,KOSDAQ,미래나노텍,플라스틱제품 제조업
56495,1,KOSDAQ,미래나노텍,플라스틱제품 제조업
56496,3,KOSDAQ,미래나노텍,플라스틱제품 제조업
56497,2,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업
56541,3,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업
56588,1,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업
56728,3,KOSDAQ,테스,특수 목적용 기계 제조업
56755,1,KOSDAQ,테스,특수 목적용 기계 제조업
56769,1,KOSDAQ,네오위즈,소프트웨어 개발 및 공급업
56788,4,KOSDAQ,네오위즈,소프트웨어 개발 및 공급업
56795,3,KOSDAQ,네오위즈,소프트웨어 개발 및 공급업
56805,2,KOSDAQ,네오위즈,소프트웨어 개발 및 공급업
56838,3,KOSDAQ,제넥신,자연과학 및 공학 연구개발업
56849,4,KOSDAQ,제넥신,자연과학 및 공학 연구개발업
56865,1,KOSDAQ,제넥신,자연과학 및 공학 연구개발업
56868,2,KOSDAQ,제넥신,자연과학 및 공학 연구개발업
56946,1,KOSDAQ,이트론,기타 전문 도매업
56947,2,KOSDAQ,이트론,기타 전문 도매업
56953,3,KOSDAQ,이트론,기타 전문 도매업
57002,4,KOSDAQ,이트론,기타 전문 도매업
57144,4,KOSDAQ,청담러닝,일반 교습 학원
57145,1,KOSDAQ,청담러닝,일반 교습 학원
57147,2,KOSDAQ,청담러닝,일반 교습 학원
57148,3,KOSDAQ,청담러닝,일반 교습 학원
57173,2,KOSDAQ,씨젠,의료용품 및 기타 의약 관련제품 제조업
57174,3,KOSDAQ,씨젠,의료용품 및 기타 의약 관련제품 제조업
57175,3,KOSDAQ,알에프세미,반도체 제조업
57176,4,KOSDAQ,알에프세미,반도체 제조업
57178,1,KOSDAQ,알에프세미,반도체 제조업
57181,2,KOSDAQ,알에프세미,반도체 제조업
57191,2,KOSDAQ,에스코넥,통신 및 방송 장비 제조업
57289,3,KOSDAQ,에스코넥,통신 및 방송 장비 제조업
57310,4,KOSDAQ,에스코넥,통신 및 방송 장비 제조업
57357,1,KOSDAQ,멜파스,전자부품 제조업
57371,3,KOSDAQ,멜파스,전자부품 제조업
57372,4,KOSDAQ,멜파스,전자부품 제조업
57375,2,KOSDAQ,멜파스,전자부품 제조업
57381,4,KOSPI,JW홀딩스,기타 금융업
57402,3,KOSPI,JW홀딩스,기타 금융업
57415,2,KOSPI,JW홀딩스,기타 금융업
57418,1,KOSPI,JW홀딩스,기타 금융업
57444,4,KOSPI,SK이노베이션,석유 정제품 제조업
57445,4,KOSDAQ,엘디티,반도체 제조업
57465,1,KOSDAQ,엘디티,반도체 제조업
57534,3,KOSDAQ,엘디티,반도체 제조업
57536,2,KOSDAQ,엘디티,반도체 제조업
57541,4,KOSDAQ,엠씨넥스,영상 및 음향기기 제조업
57544,1,KOSDAQ,엠씨넥스,영상 및 음향기기 제조업
57548,3,KOSDAQ,엠씨넥스,영상 및 음향기기 제조업
57549,2,KOSDAQ,엠씨넥스,영상 및 음향기기 제조업
57558,3,KOSDAQ,에스맥,통신 및 방송 장비 제조업
57564,2,KOSDAQ,에스맥,통신 및 방송 장비 제조업
57565,1,KOSDAQ,에스맥,통신 및 방송 장비 제조업
57570,3,KOSDAQ,윈팩,반도체 제조업
